,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species
79,Invalid,Surfing,M,33,"Lacerations to right ankle, foot & toe",,Questionable,Injured,Regular Shark
80,Unprovoked,Surfing,M,,Laceration to upper arm,N,4' to 5' shark,Injured,Regular Shark
81,Unprovoked,Surfing,M,,Minor lacerations to sole of left foot,N,,Injured,Regular Shark
82,Unprovoked,Body surfing,M,13,Lacerations to right foot,N,"Porbeagle, 1.5 m",Injured,Regular Shark
83,Unprovoked,Surfing,M,28,Lacerations to left foot,N,,Injured,Regular Shark
84,Invalid,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",,,Injured,Regular Shark
85,,Fishing,M,,Injuries to hands and legs,N,,Injured,Regular Shark
87,Unprovoked,Surfing,M,18,Lacerations to left foot,N,5' to 6' shark,Injured,Regular Shark
88,Unprovoked,Swimming,M,,Minor injuries,N,,Injured,Regular Shark
89,Unprovoked,Surfing,M,35,Minor lacerations to right hip,N,"White shark, 3 to 3.5m ",Injured,White Shark
90,Unprovoked,Spearfishing,M,,Foot bitten,N,,Injured,Regular Shark
91,Unprovoked,"Swimming, poaching abalone",M,,FATAL,Y,,Injured,Regular Shark
92,Unprovoked,Surfing,M,42,Injury to ankle & feet,N,,Injured,Regular Shark
93,Unprovoked,Swimming,M,,Lacerations to abdomen,N,Nurse shark,Injured,Regular Shark
94,Unprovoked,Swimming,F,,Lacerations to foot,N,,Injured,Regular Shark
95,Unprovoked,Surfing,M,17,Minor injury to right hand,N,,Injured,Regular Shark
97,Unprovoked,Wading,F,3,Leg injured,N,,Injured,Regular Shark
98,Invalid,Swimming,F,11,Lacerations to left foot,,Shark involvement questionable,Injured,Regular Shark
100,Unprovoked,SUP,M,69,Not injured by shark but board bitten,N,"White shark, 5' to 7'",Injured,White Shark
101,Unprovoked,Spearfishing,M,,Hand injured,N,5' shark,Injured,Regular Shark
102,Unprovoked,Swimming,M,13,Minor cuts to sole & toes of left foot,N,Possibly a juvenile blacktip shark,Injured,Regular Shark
103,Unprovoked,Snorkeling,F,20,Bite to right leg/hip,N,"Oceanic whitetip shark, 1.8 to 2 m",Injured,White Shark
104,Provoked,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,4' shark,Injured,Regular Shark
106,Unprovoked,Skimboarding,M,15,Lacerations to lower leg,N,,Injured,Regular Shark
107,Invalid,Swimming,M,10,Abrasions and cuts to sole of foot,,A small shark,Injured,Regular Shark
108,Unprovoked,,F,12,Bite to left thigh / minor injury,N,,Injured,Regular Shark
109,Unprovoked,Snorkeling,F,,Foot & ankle injured,N,,Injured,Regular Shark
110,Unprovoked,Spearfishing,M,,Severe lacerations to left hand,N,,Injured,Regular Shark
111,Unprovoked,Surfing,M,37,Torso bitten,N,,Injured,Regular Shark
112,Unprovoked,,F,,Minor injury to hand,N,Sandtiger shark  2',Injured,Regular Shark
113,Unprovoked,Swimming,F,,Abrasion to arm from shark's rough skin,N,Blue shark 6',Injured,Regular Shark
114,Unprovoked,,F,40,Foot bitten,N,"""A small shark""",Injured,Regular Shark
115,Invalid,Swimming,F,8,Foot injured,,Shark involvement not confirmed,Injured,Regular Shark
119,Unprovoked,Surfing,M,,"Minor injury, grazed by shark",N,,Injured,Regular Shark
121,Unprovoked,Swimming,M,46,Lower legs bitten,N,"Bull shark, 4' to 5'",Injured,Regular Shark
122,Provoked,Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,"Tiger shark, 100 kg",Injured,Tiger Shark
124,Invalid,Fishing,,,"Skull found in shark, a probable drowning & scavenging",,Shark involvement prior to death not confirmed,Injured,Regular Shark
125,Invalid,Fishing,M,,"Arm injured by hook, not by a shark",,No shark invovlement ,Injured,Regular Shark
126,Unprovoked,Swimming,F,16,Left foot bitten,N,,Injured,Regular Shark
127,Unprovoked,Surfing,M,,1 to 2-inch laceration behind knee,N,,Injured,Regular Shark
128,Unprovoked,Swimming,F,14,Leg bitten,N,"Bull shark, 4' to 5'",Injured,Regular Shark
130,Unprovoked,Swimming,M,82,2-inch laceration to hand,N,,Injured,Regular Shark
131,Unprovoked,Surfing,M,,Injuries to hand and wrist,N,,Injured,Regular Shark
132,Unprovoked,Feeding sharks,F,,Fingernail pulled off ,N,,Injured,Regular Shark
135,Unprovoked,Surfing,M,19,Laceration to left foot,N,,Injured,Regular Shark
136,Unprovoked,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,"3m shark, probably a smooth hound",Injured,Regular Shark
137,Unprovoked,Spearfishing,M,,Laceration to shin,N,8' shark,Injured,Regular Shark
138,Unprovoked,Snorkeling,F,32,Right forearm severed ,N,Tiger shark,Injured,Tiger Shark
139,Provoked,Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,3' shark,Injured,Regular Shark
140,Unprovoked,Feeding sharks,M,,Lacerations to right arm,N,Tiger shark,Injured,Tiger Shark
141,Invalid,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,Injured,Regular Shark
142,Unprovoked,Spearfishing,M,41,Right leg severely bitten,N,,Injured,Regular Shark
143,Provoked,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,9' shark,Injured,Regular Shark
144,Unprovoked,Snorkeling,M,33,FATAL,Y,,Injured,Regular Shark
145,Invalid,Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",,Shark involvement highly doubtful,Injured,Regular Shark
146,Unprovoked,Swimming,F,,Major injury to posterior thigh,N,,Injured,Regular Shark
147,Unprovoked,Surfing,M,14,Minor injury to right calf,N,,Injured,Regular Shark
148,Unprovoked,Surfing,F,33,Left foot bitten,N,,Injured,Regular Shark
149,Unprovoked,Body boarding,M,28,FATAL,Y,,Injured,Regular Shark
150,Unprovoked,Body boarding,F,20s,Puncture wounds & laceration above knee,N,,Injured,Regular Shark
151,Invalid,Photo shoot,F,,Alleged laceration to left ankle,,No shark invovlement - it ws a publicity stunt,Injured,Regular Shark
152,Unprovoked,Snorkeling,F,40,Calf & foot bitten,N,,Injured,Regular Shark
153,Invalid,Swimming,M,,Laceration & puncture wounds to left foot,,Shark involvement not confirmed,Injured,Regular Shark
154,Unprovoked,,,,Minor bite to the foot,N,,Injured,Regular Shark
155,Unprovoked,Surfing,F,17,FATAL,Y,White shark,Injured,White Shark
156,Unprovoked,Surfing,M,28,Lower right leg severely injured,N,"Tiger shark, 12'",Injured,Tiger Shark
157,Unprovoked,Surfing,M,17,Lacerations to right foot,N,,Injured,Regular Shark
158,Unprovoked,Surfing,F,,Lacerations to right foot,N,,Injured,Regular Shark
159,Invalid,Scuba Diving,M,68,"Fatal, coroner unable to determine if the diver was alive or had drowned when incident took place.",,Shark involvement prior to death not confirmed,Injured,Regular Shark
160,Unprovoked,Surfing,F,35,Calf bitten,N,,Injured,Regular Shark
161,Unprovoked,Paddle boarding,F,10,Laceration to calf,N,,Injured,Regular Shark
162,Unprovoked,Swimming,F,21,Minor injury to left hand,N,,Injured,Regular Shark
163,Unprovoked,Swimming,M,16,Foot injured,N,,Injured,Regular Shark
164,Unprovoked,Swimming,F,51,"Thigh nipped, minor injury",N,,Injured,Regular Shark
166,Unprovoked,Swimming,F,17,Lacerations to thighs,N,"Bull shark, 5' to 7'",Injured,Regular Shark
167,Unprovoked,Surfing,M,58,Minor injury to left foot,N,,Injured,Regular Shark
168,Unprovoked,Body boarding,M,30,Minor,N,,Injured,Regular Shark
170,Unprovoked,Spearfishing,M,25,Right thigh injured ,N,10' shark,Injured,Regular Shark
171,Unprovoked,Washing hands,M,58,Abrasions & lacerations to left leg and hand,N,Lemon shark,Injured,Regular Shark
172,Unprovoked,Snorkeling,F,,Hand bitten,N,"Bull shark, 1.5",Injured,Regular Shark
174,Unprovoked,Body boarding,M,26,Fatal,Y,,Injured,Regular Shark
175,Unprovoked,Spearfishing,M,26,Left leg severely bitten,N,,Injured,Regular Shark
176,Unprovoked,Swimming,M,22,Injury to hand,N,,Injured,Regular Shark
177,Provoked,Grabbing shark for a selfie,F,,"Minor injury to finger, PROVOKED INCIDENT",N,Lemon shark pup,Injured,Regular Shark
180,Unprovoked,Scuba Diving,M,37,Lacerations to upper right arm,N,Caribbean reef shark,Injured,Regular Shark
181,Unprovoked,Swimming,M,21,Minor laceration to ring finger,N,,Injured,Regular Shark
182,Unprovoked,,M,Teen,Puncture wounds to lower arm or hand,N,,Injured,Regular Shark
183,Unprovoked,Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,"Bull shark, 4 m",Injured,Regular Shark
184,Unprovoked,Swimming,M,57,Injury to hand,N,,Injured,Regular Shark
185,Unprovoked,,M,,Minor injury to hand,N,,Injured,Regular Shark
186,Unprovoked,Surfing,M,48,Injury to right wrist & forearm,N,"Bull shark, 1 m",Injured,Regular Shark
188,Unprovoked,Wading,M,47,Minor injuries to foot,N,,Injured,Regular Shark
189,Invalid,Wading,M,20,Minor injuries to foot & toes,,Shark involvement not confirmed,Injured,Regular Shark
190,Unprovoked,Surfing,M,16,Lacerations to right forearm,N,,Injured,Regular Shark
191,Unprovoked,Snorkeling,F,,Buttock bitten,N,a small shark,Injured,Regular Shark
193,Unprovoked,Free diving,M,61,Punctures to left foot/ankle,N,,Injured,Regular Shark
194,Unprovoked,Fishing,M,40s,Hand injured?,N,,Injured,Regular Shark
195,Invalid,Surfing,M,19,Cuts to right ankle & foot,,Shark involvement not confirmed,Injured,Regular Shark
196,Provoked,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,"Wobbegong shark, 2m",Injured,Regular Shark
197,Unprovoked,Surfing,M,65,Injuries to foot & arm,N,White shark,Injured,White Shark
198,Provoked,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,"Broadnose sevengill shark, 1.5 m",Injured,Regular Shark
199,Unprovoked,Floating,F,58,Injuries to right calf and thigh,N,Tiger shark,Injured,Tiger Shark
200,Unprovoked,Surfing,M,41,Lacerations to right foot and ankle,N,,Injured,Regular Shark
201,Unprovoked,Surfing,M,42,Lacerations to right hand,N,,Injured,Regular Shark
202,Unprovoked,Surfing,M,36,Lacerations to left thigh,N,,Injured,Regular Shark
203,Unprovoked,Surfing,M,36,Left arm and leg injured,N, 6' to 8' shark,Injured,Regular Shark
204,Unprovoked,Surfing,M,,Torso nipped,N,,Injured,Regular Shark
205,Unprovoked,Snorkeling,F,66,Injuries to left calf,N,,Injured,Regular Shark
207,Unprovoked,Surfing,M,25,Minor wound to lower right leg & surfboard bitten,N,,Injured,Regular Shark
208,Unprovoked,Surfing,M,29,Wounds to upper thigh and lower leg,N,,Injured,Regular Shark
209,Unprovoked,Surfing,M,21,Cuts to dorsal surface of left foot,N,,Injured,Regular Shark
210,Unprovoked,Surfng,M,32,Minor injuries,N,,Injured,Regular Shark
211,Unprovoked,Surfing,M,17,4 deep lacerations to thigh,N,"White shark, 3.5 m",Injured,White Shark
212,Unprovoked,Surfing,M,16,Minor injury to thigh,N,,Injured,Regular Shark
213,Unprovoked,Surfing,M,36,Lacerations to hands,N,,Injured,Regular Shark
214,Unprovoked,Surfing,M,43,Lacerations to lower leg,N,,Injured,Regular Shark
216,Unprovoked,Surfing,M,,Struck by fin on chest & leg,N,,Injured,Regular Shark
219,Unprovoked,Wading,M,60s,Minor injury to arm,N,3' to 4' shark,Injured,Regular Shark
220,Unprovoked,Swimming,F,51,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10'",Injured,Tiger Shark
221,Unprovoked,Kite surfing,M,50,FATAL,Y,,Injured,Regular Shark
222,Unprovoked,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,,Injured,Regular Shark
224,Unprovoked,Body boarding,M,9,Foot bitten,N,,Injured,Regular Shark
225,Unprovoked,Spearfishing,M,22,Two toes broken & lacerated,N,"White shark, 8' to 10'",Injured,White Shark
227,Unprovoked,Surfing,M,25,Lacerations to right foot,N,"Bull shark, 6'",Injured,Regular Shark
228,Unprovoked,Surfing,M,37,Minor injury to ankle,N,,Injured,Regular Shark
229,Unprovoked,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,"Bull shark, 3.5 m",Injured,Regular Shark
230,Unprovoked,Wading,M,49,Minor injury to ankle,N,,Injured,Regular Shark
231,Unprovoked,Snorkeling,M,15,Lacerations to left leg,N,,Injured,Regular Shark
233,Unprovoked,Surfing,M,22,Big toe bitten,N,Blacktip shark,Injured,Regular Shark
234,Unprovoked,Swimming,M,40,Lacerations to right hand,N,Blue shark,Injured,Regular Shark
