,Type,Activity,Sex ,Age,Injury,Fatal (Y/N),Species ,Injuries,Species,Arms,Legs,Chest,Thighs,Hands,Heads,Feet,Fingers,Necks,Backs,Shoulders,Toes
216,Unprovoked,Surfing,M,,Struck by fin on chest & leg,N,,Injured,Regular Shark,False,True,True,False,False,False,False,False,False,False,False,False
219,Unprovoked,Wading,M,60s,Minor injury to arm,N,3' to 4' shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
220,Unprovoked,Swimming,F,51,Severe lacerations to shoulder & forearm,N,"Tiger shark, 10'",Injured,Tiger Shark,True,False,False,False,False,False,False,False,False,False,True,False
221,Unprovoked,Kite surfing,M,50,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
222,Unprovoked,Boogie boarding,F,12,Lacerations & punctures to lower right leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
224,Unprovoked,Body boarding,M,9,Foot bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
225,Unprovoked,Spearfishing,M,22,Two toes broken & lacerated,N,"White shark, 8' to 10'",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,True
227,Unprovoked,Surfing,M,25,Lacerations to right foot,N,"Bull shark, 6'",Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
228,Unprovoked,Surfing,M,37,Minor injury to ankle,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
229,Unprovoked,Surfing,M,20,"Right arm severed, ankle severely bitten ",N,"Bull shark, 3.5 m",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
230,Unprovoked,Wading,M,49,Minor injury to ankle,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
231,Unprovoked,Snorkeling,M,15,Lacerations to left leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
233,Unprovoked,Surfing,M,22,Big toe bitten,N,Blacktip shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,True
234,Unprovoked,Swimming,M,40,Lacerations to right hand,N,Blue shark,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
235,Unprovoked,Swimming,M,72,Lacerations to leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
237,Provoked,Lobstering,M,43,Laceration to left forearm PROVOKED INCIDENT,N,"Nurse shark, 4'",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
239,Unprovoked,Surfing,M,29,Lacerations to left leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
241,Unprovoked,Spearfishing,M,,Lacerations to face and right leg,N,"Bull shark, 6'",Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
242,Provoked,Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,"reef shark, 1m",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
244,Unprovoked,Surfing,F,9,Minor injury to leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
245,Unprovoked,,F,11,Minor injury to toes,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,True
247,Unprovoked,Swimming,M,,Puncture wounds to foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
248,Unprovoked,Scuba Diving,M,,Face bruised when partly blind shark collided with him,N,"Lemon shark, 9'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
249,Unprovoked,Wading,F,10,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,Angel shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
251,Provoked,Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,dogfish shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
253,Unprovoked,Swimming,F,42,"Buttocks, thigh, left hand & wrist injured",N,,Injured,Regular Shark,False,False,False,True,True,False,False,False,False,False,False,False
254,Provoked,Fishing,M,34,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,Tawny nurse shark,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
255,Unprovoked,,M,35,Minor injury,N,3' to 4' shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
256,Unprovoked,Surfing,M,11,Foot injured,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
257,Unprovoked,Scuba Diving,M,59,Severe bite to right hand,N,"Caribbean reef shark, 4.5'",Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
258,Unprovoked,Spearfishing,M,43,Injuries to left leg & right hand,N,White shark,Injured,White Shark,False,True,False,False,True,False,False,False,False,False,False,False
259,Unprovoked,Floating,M,42,Lacerations and punctures to foot,N,3' to 5' shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
260,Unprovoked,Wading,M,,Injuries to right calf,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
261,Unprovoked,Surfing,M,,Single puncture wound to arm,N,3' to 4' shark,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
263,Unprovoked,Floating in tube,F,6,Injury to lower leg,N,3' to 4' shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
264,Unprovoked,Standing,M,19,Laceration to wrist,N,3' shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
266,Unprovoked,Swimming,M,64,Leg bitten,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
267,Unprovoked,Diving,F,60,FATAL,Y,3+ m shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
268,Unprovoked,Swimming,M,23,"Leg severely bitten, surgically amputated",N,Mako shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
270,Unprovoked,Kite surfing,M,,Laceration to heel,N,3 m shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
271,Unprovoked,Surfing,M,29,FATAL,Y,White shark,Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
272,Unprovoked,Swimming,F,52,Injuries to arm and shoulder,N,,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,True,False
273,Unprovoked,Swimming,M,13,Injury to posterior right leg,N,5' shark,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
274,Unprovoked,Swimming,F,57,Puncture wounds to thigh,N,,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
275,Unprovoked,Swimming,F,22,Lacerations and puncture wounds to foot and ankle,N,"Bull shark, 4' to 5'",Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
276,Unprovoked,Swimming,F,11,"Back, arm & hand injured",N,,Injured,Regular Shark,True,False,False,False,True,False,False,False,False,False,False,False
277,Unprovoked,Swimming,M,48,Ankle bitten,N,"Blacktip shark, 4'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
278,Provoked,Teasing a shark,F,23,Arm grabbed PROVOKED INCIDENT,N,"Nurse shark, 2'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
279,Unprovoked,Floating,M,59,Minor lacerations to right shoulder,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,True,False
280,Provoked,Fishing,M,39,Foot bitten by landed shark PROVOKED INCIDENT,N,"Mako shark, 1.5 m [5'] ",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
281,Unprovoked,Surfing,M,24,Elbow bitten,N,"Bull shark, 6'",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
282,Unprovoked,Surfing,M,15,Minor injury to left foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
284,Unprovoked,Swimming,M,12,Minor puncture wound to foot,N,Wobbegong shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
285,Provoked,Spearfishing,M,22,Laceration to knee by speared shark PROVOKED INCIDENT,M,"Grey reef shark, 2 m",Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
286,Provoked,Spearfishing,M,26,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,"Grey reef shark, 2 m",Injured,Regular Shark,True,False,False,False,True,False,False,False,False,False,False,False
287,Unprovoked,Spearfishing,M,26,Multiple bites to right arm,N,"Bull shark, 7'",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
288,Unprovoked,Walking,F,69,FATAL,Y,"Tiger shark, 2.5 m",Injured,Tiger Shark,False,False,False,False,False,False,False,False,False,False,False,False
289,Invalid,,M,60,"""Serious""",,Shark involvement not confirmed,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
290,Unprovoked,Fishing,M,34,Left hand bitten,N,5' to 6' shark,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
292,Unprovoked,Snorkeling,F,46,Minor injury to left foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
293,Unprovoked,Surfing,M,22,Severe injury to thigh,N,,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
294,Unprovoked,,M,Teen,Minor injury to arm. Possibly caused by smalll nurse shark,,Shark involvement not confirmed,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
296,Provoked,,M,9,Minor injury to chest PROVOKED INCIDENT,N,"Nurse shark, 2.5-ft",Injured,Regular Shark,False,False,True,False,False,False,False,False,False,False,False,False
298,Unprovoked,Body surfing,M,19,Lacerations to right foot and ankle,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
299,Unprovoked,Diving for beche-de-mer,M,45,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
300,Unprovoked,,M,12,Superficial injury to foot,N,,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
301,Unprovoked,Fishing,M,,Puncture wounds to right calf,N,Bronze whaler,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
302,Unprovoked,Swimming,M,41,Minor injury to head,N,Sandtiger shark,Injured,Regular Shark,False,False,False,False,False,True,False,False,False,False,False,False
303,Unprovoked,Kite surfing,M,21,Puncture wounds to right thigh,N,,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
304,Unprovoked,Spearfishing,M,31,Forearm bitten,N,,Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
305,Unprovoked,Wading,F,,Avulsion injury to lower leg,N,,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
306,Invalid,Feeding stingrays?,M,65,Minor injury to wrist from Southern stingray,,No shark involvement,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
308,Unprovoked,Walking,F,45,Foot nipped,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
310,Unprovoked,Swimming,M,41,Lacerations to scalp,N,Sandtiger shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
312,Unprovoked,Surfing,M,,Lacerations to both hands,N,"Reef shark, 5'",Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
314,Unprovoked,Spearfishing,M,,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,Bull sharks x 2,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
317,Unprovoked,Surfing,M,,Laceration to right foot,N,Wobbegong shark,Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
318,Unprovoked,Wading,M,11,Laceration to right calf,N,Blacktip shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
319,Unprovoked,Spearfishing,M,31,Lacerations to arms & leg,N,3 m shark,Injured,Regular Shark,True,True,False,False,False,False,False,False,False,False,False,False
321,Unprovoked,Swimming,F,38,Lacerations to left forearm,N,"Silky shark, 6.5'",Injured,Regular Shark,True,False,False,False,False,False,False,False,False,False,False,False
324,Unprovoked,Scuba diving,M,32,Right hand & part of forearm removed,N,"Tiger shark, 1.5 m ",Injured,Tiger Shark,True,False,False,False,True,False,False,False,False,False,False,False
325,Unprovoked,Sea disaster,M,58,FATAL,Y,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
327,Unprovoked,Lobster fishing,M,26,"Bitten on thigh, abdomen & hand",N,Bull shark,Injured,Regular Shark,False,False,False,True,True,False,False,False,False,False,False,False
328,Unprovoked,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,,Injured,Regular Shark,True,False,False,False,True,False,False,False,False,False,False,False
329,Unprovoked,Snorkeling,M,55,Lacerations to left calf,N,Galapagos shark,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
330,Unprovoked,Surfing,M,,Right heel injured,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
331,Unprovoked,Swimming,F,,Leg injured,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
332,Unprovoked,Surfing,M,28,Lacerations to hand,N,"Spinner shark, 7'",Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
333,Unprovoked,Surfing,M,20,Injury to left thigh,N,"Bull shark, 2.8 to 3.1 m",Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
334,Invalid,Surfing,F,9,Lower left leg injured,,Shark involvement not confirmed,Injured,Regular Shark,False,True,False,False,False,False,False,False,False,False,False,False
335,Unprovoked,Swimming,M,54,Laceration to right ankle,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
336,Unprovoked,Wading,F,28,Injury to right ankle/calf & hand,N,3' to 5' shark,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
337,Unprovoked,Fishing,M,19,"Arms severely injured, surgically amputated",N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
338,Unprovoked,Spearfishing,M,50,Minor injury,N,,Injured,Regular Shark,False,False,False,False,False,False,False,False,False,False,False,False
339,Unprovoked,Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,,Injured,Regular Shark,False,False,False,True,False,False,False,False,False,False,False,False
340,Unprovoked,Surfing,M,42,"Lacerations to right calf, knee & hip",N,"White shark, 3 to 3.5m ",Injured,White Shark,False,False,False,False,False,False,False,False,False,False,False,False
341,Unprovoked,Surfing,M,21,Lacerations to left hand,N,5' shark,Injured,Regular Shark,False,False,False,False,True,False,False,False,False,False,False,False
342,Unprovoked,Surfing,M,21,Left foot bitten,N,"Spinner shark, 5'",Injured,Regular Shark,False,False,False,False,False,False,True,False,False,False,False,False
